cvae,cvae_cali,fnn,fnn_cali,rf,rf_cali,gp,,,,,,,,,,,,,,,,,,,,
0.330817699,0.252909899,0.174232006,0.178247213,0.108362198,0.107931137,0.904172,,,,,,,,,,,,,,,,,,,,
0.312716007,0.257696152,0.171918869,0.177965879,0.108798981,0.107450962,0.8861852,,,,,,,,,,,,,,,,,,,,
0.334457874,0.25304389,0.175586939,0.173246861,0.110215902,0.106710196,0.8738109,,,,,,,,,,,,,,,,,,,,
0.329979181,0.263164043,0.176847935,0.173749924,0.109418869,0.107487917,0.9145015,,,,,,,,,,,,,,,,,,,,
0.306949139,0.256768942,0.174700022,0.174406052,0.110616207,0.106706858,0.8866108,,,,,,,,,,,,,,,,,,,,
0.277750969,0.265616894,0.176525831,0.173647165,0.107884884,0.107160807,0.901307,,,,,,,,,,,,,,,,,,,,
0.27274704,0.256732225,0.174572945,0.173614979,0.107559204,0.107439041,0.9231062,,,,,,,,,,,,,,,,,,,,
0.271830082,0.263915062,0.174046993,0.172194958,0.106775999,0.107530117,0.9000611,,,,,,,,,,,,,,,,,,,,
0.258713722,0.262155056,0.176287174,0.174177885,0.107019901,0.107629061,0.8954643,,,,,,,,,,,,,,,,,,,,
0.261685133,0.269468069,0.171304941,0.194084167,0.106644869,0.106681824,0.9342723,,,,,,,,,,,,,,,,,,,,
0.27120471,0.259457111,0.172003984,0.182863712,0.10700798,0.107119799,0.8972613,,,,,,,,,,,,,,,,,,,,
0.245939016,0.269021034,0.171572208,0.177840233,0.10663414,0.106691122,0.8908217,,,,,,,,,,,,,,,,,,,,
0.245619059,0.258029938,0.174888849,0.177739859,0.107098103,0.106923819,0.897259,,,,,,,,,,,,,,,,,,,,
0.259851933,0.265656233,0.175965786,0.176728964,0.106515884,0.106559038,0.900956,,,,,,,,,,,,,,,,,,,,
0.271606922,0.26117897,0.173735857,0.175960064,0.107191086,0.107217073,0.8982342,,,,,,,,,,,,,,,,,,,,
0.289565802,0.265990973,0.17496419,0.172716141,0.10650301,0.106498957,0.9119862,,,,,,,,,,,,,,,,,,,,
0.317383289,0.260929108,0.175651073,0.172869205,0.107107162,0.106945992,0.8698477,,,,,,,,,,,,,,,,,,,,
0.256425381,0.261643887,0.176627159,0.177030802,0.106993914,0.106541157,0.9063961,,,,,,,,,,,,,,,,,,,,
0.256983042,0.252922058,0.17121911,0.177732706,0.106359243,0.107135057,0.9231414,,,,,,,,,,,,,,,,,,,,
0.25612092,0.257136106,0.172558069,0.177139759,0.106955767,0.106631994,0.8972055,,,,,,,,,,,,,,,,,,,,
0.253287077,0.261621714,0.174892187,0.173815966,0.106679201,0.107073069,0.9098233,,,,,,,,,,,,,,,,,,,,
0.257137299,0.253167152,0.172430038,0.177608013,0.107067823,0.106875896,0.9266087,,,,,,,,,,,,,,,,,,,,
0.261421204,0.261240005,0.174472094,0.17816186,0.106572151,0.106631994,0.9029969,,,,,,,,,,,,,,,,,,,,
0.259212017,0.257534266,0.170937061,0.176834106,0.107093096,0.107154846,0.9038551,,,,,,,,,,,,,,,,,,,,
0.258066893,0.270747185,0.172380209,0.173899174,0.106503963,0.106637955,0.9054029,,,,,,,,,,,,,,,,,,,,
0.25769186,0.25208497,0.173514128,0.175192833,0.106981277,0.106873989,0.8983516,,,,,,,,,,,,,,,,,,,,
0.254604101,0.26705575,0.175770044,0.172911167,0.106899261,0.106688976,0.8852722,,,,,,,,,,,,,,,,,,,,
0.260377884,0.258023977,0.173009872,0.177314758,0.107090235,0.10707593,0.9228536,,,,,,,,,,,,,,,,,,,,
0.339199066,0.267256021,0.17333293,0.176452875,0.106744766,0.106570005,0.8780595,,,,,,,,,,,,,,,,,,,,
0.293631077,0.260299206,0.173038006,0.176075935,0.108061075,0.106932402,0.8753629,,,,,,,,,,,,,,,,,,,,
0.352159977,0.26556778,0.173838854,0.176903963,0.106890917,0.106322289,0.9038257,,,,,,,,,,,,,,,,,,,,
0.277257919,0.260281086,0.171343327,0.17849803,0.106691122,0.107464075,0.8838972,,,,,,,,,,,,,,,,,,,,
0.262552023,0.269038916,0.174784184,0.172424793,0.106281996,0.107566833,0.8784302,,,,,,,,,,,,,,,,,,,,
0.259790897,0.253858089,0.174303055,0.177568913,0.105952978,0.108712196,0.9063542,,,,,,,,,,,,,,,,,,,,
0.258094072,0.272354126,0.173859119,0.173820257,0.106600046,0.107167006,0.8786163,,,,,,,,,,,,,,,,,,,,
0.258140087,0.281799793,0.171731234,0.172566175,0.105823994,0.106997013,0.8737699,,,,,,,,,,,,,,,,,,,,
0.25900197,0.257762909,0.17447114,0.172005177,0.10636282,0.106727123,0.8949979,,,,,,,,,,,,,,,,,,,,
0.259324789,0.262070179,0.172721148,0.174948931,0.105793953,0.107193947,0.9009706,,,,,,,,,,,,,,,,,,,,
0.25788784,0.26661706,0.171011686,0.177487135,0.106467009,0.109197855,0.8695968,,,,,,,,,,,,,,,,,,,,
0.259229183,0.257911682,0.172101021,0.176339149,0.106136084,0.106717825,0.9107134,,,,,,,,,,,,,,,,,,,,
0.257031202,0.257222891,0.174800158,0.177378178,0.10652113,0.107005835,0.8748666,,,,,,,,,,,,,,,,,,,,
0.258000135,0.266560078,0.185529709,0.177860022,0.10600996,0.106792927,0.8823143,,,,,,,,,,,,,,,,,,,,
0.257395983,0.252851963,0.186117887,0.177973032,0.106317043,0.106902122,0.8990352,,,,,,,,,,,,,,,,,,,,
0.258210659,0.261979103,0.18753314,0.17782712,0.105746984,0.106557846,0.8762992,,,,,,,,,,,,,,,,,,,,
0.257032871,0.261148214,0.185197115,0.176930189,0.106341839,0.107052803,0.878963,,,,,,,,,,,,,,,,,,,,
0.256515026,0.296703815,0.192793131,0.177378893,0.106053114,0.106647015,0.9014822,,,,,,,,,,,,,,,,,,,,
0.257364988,0.268319845,0.17286396,0.177831173,0.10630703,0.107186794,0.8774896,,,,,,,,,,,,,,,,,,,,
0.256909847,0.349289179,0.174949169,0.17705965,0.105826139,0.106675863,0.884265,,,,,,,,,,,,,,,,,,,,
0.260151148,0.355079174,0.174591064,0.173389912,0.106403112,0.107584953,0.8903137,,,,,,,,,,,,,,,,,,,,
0.260709047,0.27064991,0.174147129,0.180890799,0.105907917,0.107414007,0.8853063,,,,,,,,,,,,,,,,,,,,
0.261068821,0.265798807,0.172822714,0.18275094,0.106460094,0.107187033,0.8693276,,,,,,,,,,,,,,,,,,,,
0.25870204,0.260545254,0.174717903,0.186271906,0.106440306,0.10669899,0.915789,,,,,,,,,,,,,,,,,,,,
0.256915092,0.263746977,0.174189091,0.185086966,0.105798006,0.106976986,0.8809515,,,,,,,,,,,,,,,,,,,,
0.257625103,0.264314175,0.173873901,0.191920996,0.107300997,0.106990099,0.896183,,,,,,,,,,,,,,,,,,,,
0.259567022,0.262406826,0.1754179,0.179249048,0.106470108,0.106692791,0.905695,,,,,,,,,,,,,,,,,,,,
0.255622149,0.261532068,0.177841187,0.178762913,0.106720209,0.106985807,0.8861617,,,,,,,,,,,,,,,,,,,,
0.244229078,0.266646147,0.176824093,0.177911997,0.105746984,0.106750011,0.8791175,,,,,,,,,,,,,,,,,,,,
0.258404732,0.244616985,0.176015854,0.176197052,0.106307745,0.107107162,0.9057699,,,,,,,,,,,,,,,,,,,,
0.256164074,0.266962051,0.175335884,0.174449921,0.106041908,0.106626749,0.8698639,,,,,,,,,,,,,,,,,,,,
0.257854939,0.257665157,0.175462723,0.177380085,0.106207848,0.107016325,0.8841753,,,,,,,,,,,,,,,,,,,,
0.257317066,0.263696909,0.171215296,0.176974058,0.105695724,0.106819868,0.9060882,,,,,,,,,,,,,,,,,,,,
0.259182215,0.247407913,0.176005125,0.17744422,0.106204271,0.106991291,0.8782245,,,,,,,,,,,,,,,,,,,,
0.256618977,0.25455904,0.175873756,0.177278042,0.105865955,0.106595993,0.8887635,,,,,,,,,,,,,,,,,,,,
0.259800911,0.255078793,0.176527262,0.178001881,0.106353998,0.107125044,0.9096059,,,,,,,,,,,,,,,,,,,,
0.256633043,0.262603998,0.173550844,0.177602768,0.105768919,0.106650829,0.8897353,,,,,,,,,,,,,,,,,,,,
0.258929968,0.260249138,0.175523043,0.177074909,0.106766939,0.107195139,0.8978544,,,,,,,,,,,,,,,,,,,,
0.260015726,0.259615898,0.17641902,0.176542997,0.106617212,0.106750965,0.9007043,,,,,,,,,,,,,,,,,,,,
0.255511045,0.264384985,0.17553997,0.172296047,0.106256008,0.106953144,0.878067,,,,,,,,,,,,,,,,,,,,
0.26373291,0.263282061,0.17582798,0.177214146,0.106298208,0.107062817,0.8728985,,,,,,,,,,,,,,,,,,,,
0.255358934,0.269096136,0.177155733,0.176997185,0.105648994,0.107385159,0.9065501,,,,,,,,,,,,,,,,,,,,
0.252943039,0.262046814,0.177391052,0.176403999,0.106280804,0.107944012,0.8782038,,,,,,,,,,,,,,,,,,,,
0.258431196,0.266599178,0.18209219,0.178226948,0.105782032,0.107326746,0.8860855,,,,,,,,,,,,,,,,,,,,
0.260083199,0.259814262,0.176101923,0.176811934,0.106482983,0.107340097,0.8995968,,,,,,,,,,,,,,,,,,,,
0.25307703,0.24461174,0.176329851,0.178487062,0.106458187,0.106729031,0.885107,,,,,,,,,,,,,,,,,,,,
0.253828287,0.260629892,0.171738863,0.177294016,0.10667634,0.107198954,0.880053,,,,,,,,,,,,,,,,,,,,
0.253489017,0.263067961,0.175898075,0.171915054,0.105865002,0.106585979,0.9062448,,,,,,,,,,,,,,,,,,,,
0.251924992,0.261036158,0.175955057,0.176113129,0.106065273,0.10740304,0.8781475,,,,,,,,,,,,,,,,,,,,
0.259610891,0.266356945,0.175617933,0.177386045,0.105766773,0.107430935,0.8943802,,,,,,,,,,,,,,,,,,,,
0.257379055,0.259745121,0.176833153,0.178000927,0.106051207,0.10727191,0.909549,,,,,,,,,,,,,,,,,,,,
0.258025169,0.26309514,0.175793886,0.177616835,0.107003212,0.106694221,0.8858909,,,,,,,,,,,,,,,,,,,,
0.254070997,0.258690119,0.176076174,0.176875114,0.107176781,0.10707593,0.8824137,,,,,,,,,,,,,,,,,,,,
0.261606932,0.267580986,0.177802086,0.177209854,0.105987787,0.106501102,0.8991717,,,,,,,,,,,,,,,,,,,,
0.253418922,0.261008024,0.176724911,0.177552223,0.106412172,0.106988907,0.8791204,,,,,,,,,,,,,,,,,,,,
0.261375904,0.267144203,0.175906181,0.177592754,0.105959892,0.106944084,0.8992273,,,,,,,,,,,,,,,,,,,,
0.261849642,0.262635708,0.175723076,0.176923037,0.106384039,0.106642962,0.9144386,,,,,,,,,,,,,,,,,,,,
0.246039152,0.259210825,0.176970959,0.176525831,0.106269121,0.107002258,0.8875998,,,,,,,,,,,,,,,,,,,,
0.260402918,0.26529789,0.175888062,0.176738262,0.105910778,0.106508017,0.8839817,,,,,,,,,,,,,,,,,,,,
0.255427122,0.261094332,0.176646233,0.176640987,0.106234074,0.107110023,0.9206699,,,,,,,,,,,,,,,,,,,,
0.260323286,0.268351316,0.175802231,0.179199934,0.105787992,0.107541084,0.9077905,,,,,,,,,,,,,,,,,,,,
0.341914892,0.262200117,0.176623821,0.176400185,0.106215,0.108117104,0.8993166,,,,,,,,,,,,,,,,,,,,
0.322431803,0.252717018,0.175525904,0.176628113,0.10571599,0.107333899,0.9106556,,,,,,,,,,,,,,,,,,,,
0.352389812,0.257187843,0.176584005,0.178195,0.106509209,0.107271194,0.9019335,,,,,,,,,,,,,,,,,,,,
0.289263248,0.246352911,0.174692154,0.17701292,0.105786085,0.106585026,0.8929029,,,,,,,,,,,,,,,,,,,,
0.270168066,0.257070065,0.176367044,0.177151918,0.106102943,0.109893799,0.9139545,,,,,,,,,,,,,,,,,,,,
0.266314983,0.267212629,0.176844835,0.177145004,0.105901003,0.109815836,0.8822761,,,,,,,,,,,,,,,,,,,,
0.292288065,0.254040956,0.176453114,0.177599907,0.106156111,0.111011982,0.895953,,,,,,,,,,,,,,,,,,,,
0.263563156,0.262144089,0.175829887,0.174540997,0.106784105,0.111102819,0.9140289,,,,,,,,,,,,,,,,,,,,
0.259961128,0.260212183,0.174638987,0.174934149,0.106552124,0.112506866,0.8762817,,,,,,,,,,,,,,,,,,,,
0.264136791,0.263715982,0.175406933,0.178125143,0.105816126,0.112320185,0.9056984,,,,,,,,,,,,,,,,,,,,
0.267749786,0.260881901,0.175565958,0.178223133,0.10627389,0.11044693,0.9105446,,,,,,,,,,,,,,,,,,,,
0.259885073,0.265071154,0.176599026,0.176367044,0.105962992,0.107308149,0.8766196,,,,,,,,,,,,,,,,,,,,
0.25677371,0.256345987,0.178975821,0.179199934,0.106540203,0.10672307,0.8898904,,,,,,,,,,,,,,,,,,,,
0.260638237,0.270942926,0.17543602,0.177679777,0.105729103,0.10739994,0.9043731,,,,,,,,,,,,,,,,,,,,
0.260462999,0.257539034,0.179653168,0.178431988,0.106220007,0.106709003,0.8909694,,,,,,,,,,,,,,,,,,,,
0.258583069,0.269263029,0.186490059,0.177293062,0.106366158,0.10705471,0.8732635,,,,,,,,,,,,,,,,,,,,
0.256966829,0.26227212,0.183189154,0.177341938,0.105977774,0.106654882,0.9228354,,,,,,,,,,,,,,,,,,,,
0.263309717,0.35094285,0.185179234,0.173681021,0.106415987,0.106910944,0.8887022,,,,,,,,,,,,,,,,,,,,
